Time,Letter
2023-12-03 14:35:02.446720,c
2023-12-03 14:35:02.524977,c
2023-12-03 14:35:02.813874,l
2023-12-03 14:35:02.926373,l
2023-12-03 14:35:03.189721,e
2023-12-03 14:35:03.284990,e
2023-12-03 14:35:03.465500,r
2023-12-03 14:35:03.548960,r
2023-12-03 14:35:03.986554,k
2023-12-03 14:35:04.072459,k
2023-12-03 14:35:04.365848,space
2023-12-03 14:35:04.463796,space
2023-12-03 14:35:05.194477,t
2023-12-03 14:35:05.289093,t
2023-12-03 14:35:05.518753,a
2023-12-03 14:35:05.609386,a
2023-12-03 14:35:06.028192,b
2023-12-03 14:35:06.123677,b
2023-12-03 14:35:06.395967,l
2023-12-03 14:35:06.496506,l
2023-12-03 14:35:06.791040,e
2023-12-03 14:35:06.871492,e
2023-12-03 14:35:07.105518,space
2023-12-03 14:35:07.195384,space
2023-12-03 14:35:07.665480,t
2023-12-03 14:35:07.747356,t
2023-12-03 14:35:07.923508,r
2023-12-03 14:35:08.003039,r
2023-12-03 14:35:08.381118,i
2023-12-03 14:35:08.475137,i
2023-12-03 14:35:08.725277,c
2023-12-03 14:35:08.795977,c
2023-12-03 14:35:09.094845,k
2023-12-03 14:35:09.178777,k
2023-12-03 14:35:09.425209,enter
