Input,Letter,Time
"[2, 4, 1]",O,2023-12-03 14:31:42.705576
"[2, 3, 2]",N,2023-12-03 14:31:46.408219
"[2, 1, 1]",I,2023-12-03 14:31:51.108257
"[2, 4, 1]",O,2023-12-03 14:31:55.408323
"[2, 3, 2]",N,2023-12-03 14:31:59.208598
"[4, 3, 1]", ,2023-12-03 14:32:01.906045
"[2, 3, 1]",M,2023-12-03 14:32:06.506323
"[2, 3, 3]",,2023-12-03 14:32:12.106265
"[4, 3, 2]",backspace,2023-12-03 14:32:15.005904
"[2, 3, 1]",M,2023-12-03 14:32:22.105985
"[2, 4, 1]",O,2023-12-03 14:32:28.908774
"[3, 3, 1]",U,2023-12-03 14:32:33.908998
"[3, 2, 2]",T,2023-12-03 14:32:38.808963
"[1, 4, 2]",H,2023-12-03 14:32:43.806475
"[4, 3, 1]", ,2023-12-03 14:32:47.209230
"[2, 4, 2]",P,2023-12-03 14:32:54.506510
"[2, 4, 1]",O,2023-12-03 14:32:59.009336
"[2, 3, 2]",N,2023-12-03 14:33:02.709220
"[1, 2, 2]",D,2023-12-03 14:33:07.009215
"[4, 3, 1]", ,2023-12-03 14:33:11.109472
"[4, 3, 2]",backspace,2023-12-03 14:33:15.006869
"[4, 3, 2]",backspace,2023-12-03 14:33:16.606690
"[4, 3, 2]",backspace,2023-12-03 14:33:20.806773
"[3, 3, 1]",U,2023-12-03 14:33:25.206802
"[2, 3, 2]",N,2023-12-03 14:33:29.509616
"[1, 2, 2]",D,2023-12-03 14:33:32.407043
