Time,Letter
2023-12-03 14:27:03.481179,f
2023-12-03 14:27:03.585382,f
2023-12-03 14:27:04.589303,l
2023-12-03 14:27:04.711828,l
2023-12-03 14:27:05.297051,o
2023-12-03 14:27:05.392239,o
2023-12-03 14:27:05.640244,o
2023-12-03 14:27:05.722277,o
2023-12-03 14:27:06.342524,r
2023-12-03 14:27:06.443505,r
2023-12-03 14:27:07.263002,space
2023-12-03 14:27:07.362653,space
2023-12-03 14:27:07.698698,e
2023-12-03 14:27:07.786314,e
2023-12-03 14:27:08.126005,s
2023-12-03 14:27:08.198783,s
2023-12-03 14:27:08.311325,s
2023-12-03 14:27:08.390827,s
2023-12-03 14:27:08.648022,a
2023-12-03 14:27:08.746583,a
2023-12-03 14:27:09.878825,y
2023-12-03 14:27:09.968428,y
2023-12-03 14:27:10.403043,space
2023-12-03 14:27:10.475947,space
2023-12-03 14:27:12.337130,d
2023-12-03 14:27:12.431629,d
2023-12-03 14:27:12.781235,i
2023-12-03 14:27:12.871736,i
2023-12-03 14:27:13.197750,s
2023-12-03 14:27:13.296880,s
2023-12-03 14:27:13.520753,c
2023-12-03 14:27:13.597508,c
2023-12-03 14:27:14.079347,o
2023-12-03 14:27:14.184452,o
2023-12-03 14:27:14.671520,enter
