Time,Letter
2023-12-03 14:22:05.809604,d
2023-12-03 14:22:05.908652,d
2023-12-03 14:22:06.324007,a
2023-12-03 14:22:06.438688,a
2023-12-03 14:22:07.109404,i
2023-12-03 14:22:07.201461,i
2023-12-03 14:22:08.011155,r
2023-12-03 14:22:08.090861,r
2023-12-03 14:22:09.272429,y
2023-12-03 14:22:09.337618,y
2023-12-03 14:22:10.108687,space
2023-12-03 14:22:10.207969,space
2023-12-03 14:22:10.681325,p
2023-12-03 14:22:10.772516,p
2023-12-03 14:22:11.210007,a
2023-12-03 14:22:11.327933,a
2023-12-03 14:22:11.754445,p
2023-12-03 14:22:11.849203,p
2023-12-03 14:22:12.258491,e
2023-12-03 14:22:12.310424,e
2023-12-03 14:22:12.925186,r
2023-12-03 14:22:13.008596,r
2023-12-03 14:22:13.623347,space
2023-12-03 14:22:13.706780,space
2023-12-03 14:22:15.040166,b
2023-12-03 14:22:15.140203,b
2023-12-03 14:22:15.454835,l
2023-12-03 14:22:15.539621,l
2023-12-03 14:22:15.748876,o
2023-12-03 14:22:15.839954,o
2023-12-03 14:22:16.379051,c
2023-12-03 14:22:16.459259,c
2023-12-03 14:22:16.871487,k
2023-12-03 14:22:16.956777,k
