Input,Letter,Time
[],M,2023-12-03 14:46:28.884213
[],A,2023-12-03 14:46:32.083961
[],R,2023-12-03 14:46:40.283732
[],S,2023-12-03 14:46:45.883837
[],H,2023-12-03 14:46:51.083838
[],_,2023-12-03 14:46:53.283784
[],A,2023-12-03 14:46:57.083985
[],G,2023-12-03 14:47:03.383761
[],R,2023-12-03 14:47:11.086260
[],E,2023-12-03 14:47:14.986165
[],E,2023-12-03 14:47:17.683509
[],_,2023-12-03 14:47:20.283464
[],G,2023-12-03 14:47:24.983398
[],U,2023-12-03 14:47:31.485949
[],I,2023-12-03 14:47:38.485942
[],D,2023-12-03 14:47:43.983136
[],E,2023-12-03 14:47:50.283404
